"symbol","date","open","high","low","close","volume","adjusted"
"GILD",2020-07-01,77.099998,77.230003,75.900002,76.059998,7786900,75.271332
"GILD",2020-07-02,76.309998,77.089996,75.650002,76.349998,6381000,75.558327
"GILD",2020-07-06,77.510002,77.660004,76.07,76.760002,7056600,75.964081
"GILD",2020-07-07,76.489998,76.959999,76.309998,76.419998,5055700,75.627602
"GILD",2020-07-08,76.699997,77,74.93,75.610001,6293500,74.826004
"GILD",2020-07-09,75.110001,75.839996,73.949997,74.709999,5199800,73.935333
"GILD",2020-07-10,76.099998,76.849998,75.519997,76.32,9553800,75.528641
"GILD",2020-07-13,76.519997,78.339996,75.949997,76.68,9626600,75.884903
"GILD",2020-07-14,76.209999,77.349998,75.440002,77.190002,6904200,76.389618
"GILD",2020-07-15,76.989998,77.290001,76.239998,76.650002,6018800,75.855217
"GILD",2020-07-16,76.599998,76.75,75.629997,76.639999,4862200,75.845322
"GILD",2020-07-17,76.529999,77.650002,76.209999,77.510002,6940100,76.706299
"GILD",2020-07-20,77.75,78.940002,77.279999,78.080002,6974400,77.270393
"GILD",2020-07-21,77.349998,77.989998,76.599998,76.779999,5649600,75.983864
"GILD",2020-07-22,76.870003,77.25,75.959999,76.25,4734800,75.459366
"GILD",2020-07-23,76.43,76.800003,75.370003,75.559998,5854400,74.776512
"GILD",2020-07-24,75.470001,75.650002,73.120003,73.639999,8149000,72.876427
"GILD",2020-07-27,73.889999,74.589996,73.32,74.540001,7678500,73.767097
"GILD",2020-07-28,74.669998,75.040001,73.610001,73.730003,5484400,72.9655
"GILD",2020-07-29,73.849998,73.849998,72.529999,73.010002,8345200,72.25296
"GILD",2020-07-30,72.550003,72.599998,71.709999,72.330002,9274100,71.580009
"GILD",2020-07-31,69.730003,70.830002,68.519997,69.529999,20558800,68.809044
"GILD",2020-08-03,69.720001,72.150002,69.610001,71.730003,9671800,70.986237
"GILD",2020-08-04,72.019997,72.309998,70.470001,70.879997,9799700,70.145042
"GILD",2020-08-05,70.639999,70.809998,68.980003,69,12281900,68.284538
"GILD",2020-08-06,69.019997,69.629997,68.620003,68.809998,8318000,68.096504
"GILD",2020-08-07,69.360001,69.730003,68.809998,69.349998,8066400,68.630905
"GILD",2020-08-10,69.150002,69.25,67.959999,68.510002,10278000,67.799622
"GILD",2020-08-11,68.449997,69.18,67.919998,68.099998,10236900,67.393867
"GILD",2020-08-12,68.690002,69.110001,68.379997,68.839996,9121200,68.126198
"GILD",2020-08-13,68.970001,69.190002,67.989998,68.18,7468100,67.473045
"GILD",2020-08-14,68.089996,68.82,68,68.5,9169200,67.789726
"GILD",2020-08-17,68.32,69.349998,68.309998,69.150002,6848800,68.432983
"GILD",2020-08-18,69.230003,69.75,68.980003,69.059998,6327500,68.343918
"GILD",2020-08-19,66.190002,67.470001,65.5,65.699997,19680300,65.018753
"GILD",2020-08-20,65.839996,66.160004,65.550003,66.050003,8339300,65.365128
"GILD",2020-08-21,65.779999,66.870003,65.410004,66.5,9898000,65.810463
"GILD",2020-08-24,66.360001,66.959999,65.550003,66.080002,8566200,65.394821
"GILD",2020-08-25,65.910004,66.239998,65.709999,66.050003,7456600,65.365128
"GILD",2020-08-26,65.879997,65.879997,65.160004,65.599998,7522600,64.919792
"GILD",2020-08-27,65.589996,65.849998,65.32,65.550003,7919600,64.870316
"GILD",2020-08-28,65.220001,65.75,64.980003,65.260002,6821000,64.583321
"GILD",2020-08-31,65.459999,66.889999,65.419998,66.75,9083900,66.057869
"GILD",2020-09-01,66.330002,66.470001,64.910004,65.830002,8355500,65.147408
"GILD",2020-09-02,65.32,66.959999,65.32,66.790001,8334700,66.097458
